POLYGON_ID,ADM0_ISO3,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,ADM3_NAME,ADM3_CODE,CST_NAME,CST_CODE,HEX05_CODE,HEX05_X,HEX05_Y,PRIO_CODE,PRIO_COL,PRIO_ROW,PRIO_X,PRIO_Y,GEOSET,GEOSET_YEAR,GEOSET_VERSION,GEOSET_UNIT,CENTROID_LONG,CENTROID_LAT,YEAR,GHS_VERSION,GHS_POP_COUNT,GHS_POP_KM2,GHS_POP_COUNT_LI,GHS_POP_KM2_LI,GHS_POP_COUNT_MR,GHS_POP_KM2_MR
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1977,GHS_P2019,,,229958.84741018,806.5277962024,218491.59720655,766.3090521022
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1977,GHS_P2019,,,161215.68167517,24431.552100694,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1977,GHS_P2019,,,153493.8463323,643.4200889537,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1977,GHS_P2019,,,69763.423038172,4923.7839825037,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1977,GHS_P2019,,,88825.663611441,14265.612866086,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1977,GHS_P2019,,,306113.34977309,981.3909339673,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1977,GHS_P2019,,,51402.011190789,11995.251476728,54106.072353363,22640.347191987
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1977,GHS_P2019,,,215004.48659404,839.4905663175,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A12176,EGY,Egypt,41,"Ad Daqahliyah",16,Gamsa,12176,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.55102853,31.44021287,1978,GHS_P2019,,,1305.8353439761,638.1678138998,1226.9663119918,599.6241503273
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1978,GHS_P2019,,,152369.33190146,714.9968974913,139610.27155262,655.1246879536
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1978,GHS_P2019,,,238113.32184016,343.2038773027,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1978,GHS_P2019,,,48503.149434513,485.5498649104,44403.963152272,444.514192627
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1978,GHS_P2019,,,237998.10730556,834.7236522846,218491.59720655,766.3090521022
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1978,GHS_P2019,,,163783.52526262,24740.47239588,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1978,GHS_P2019,,,158148.75173179,662.9326604204,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1978,GHS_P2019,,,72342.535303472,5105.8133484354,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1978,GHS_P2019,,,90934.911758912,14604.363135849,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1978,GHS_P2019,,,317864.85115209,1019.0659224073,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1978,GHS_P2019,,,52485.464944718,12128.345616963,54106.072353363,22640.347191987
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1978,GHS_P2019,,,222549.29743152,868.949474925,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1979,GHS_P2019,,,157553.14693504,739.3220790734,139610.27155262,655.1246879536
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1979,GHS_P2019,,,246282.09723232,354.9779156701,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1979,GHS_P2019,,,50117.126988444,501.7068896083,44403.963152272,444.514192627
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1979,GHS_P2019,,,246037.36720095,862.9195083669,218491.59720655,766.3090521022
